iddatosgrasas,grado_nlgi_consistencia,viscosidad_del_aceite_base_a_40degc_cst,punto_de_soldadura_cuatro_bolas_kgf,desgaste_cuatro_bolas_mm,indice_de_carga_desgaste,prueba_fzg,registro_nsf,solidos_totales,tamano_de_particula_u,presion_de_flujo_a_30degc_mbar,estabilidad_a_la_oxidacion,ph,factor_de_torque,viscosidad_dinamica_a_25degc_cp,biodegradabilidad_en_28_dias_60,factor_de_velocidad,temperatura_de_servicio_degc_min,temperatura_de_servicio_degc_max
1,2.0,680.0,500.0,,,,,,,,,,,,,200000.0,5,220
2,1.5,460.0,900.0,0.5,166.0,,,,,,,,,,,300000.0,-30,150
3,2.0,460.0,500.0,0.48,,,,,,,,,,,,,-10,150
4,2.0,220.0,500.0,0.45,,,,,,,,,,,,,-15,150
5,1.5,680.0,620.0,0.48,,,,,,,,,,,,,-5,150
6,2.0,680.0,620.0,0.48,,,,,,,,,,,,,-5,150
7,1.0,3800.0,500.0,,,,,,,,,,,,,,-5,120
8,0.0,800.0,900.0,0.5,166.0,,,,,,,,,,,300000.0,-30,150
9,1.0,800.0,900.0,0.5,166.0,,,,,,,,,,,300000.0,-30,150
10,1.5,800.0,900.0,0.5,166.0,,,,,,,,,,,300000.0,-30,150
11,2.0,800.0,900.0,0.5,166.0,,,,,,,,,,,300000.0,-8,150
12,3.0,800.0,900.0,0.5,166.0,,,,,,,,,,,300000.0,5,150
13,1.0,460.0,500.0,,,,,,,,,,,,,,-20,190
14,2.0,460.0,500.0,,,,,,,,,,,,,,-20,190
15,2.0,700.0,315.0,,,,,,,,,,,,,,-15,150
16,2.0,,,,,,,,,,,,,,,150000.0,-10,150
17,2.0,480.0,250.0,0.6,,,164358.0,,,,,,,,,350000.0,-5,180
18,2.0,680.0,800.0,,,,,,,,,,,,,,5,210
19,2.0,680.0,315.0,,,,,,,,,,,,,,0,240
20,1.2,400.0,250.0,,,,,,,800.0,,,,,,,-25,150
21,0.0,220.0,315.0,,,,,,,,,,,,,300000.0,-5,160
22,1.0,100.0,250.0,,,,,,,,,,,,,900000.0,-10,160
23,2.0,100.0,250.0,,,,,,,,,,,,,900000.0,-10,160
24,3.0,100.0,250.0,,,,,,,,,,,,,750000.0,-5,160
25,1.0,220.0,300.0,,,,,,,,,,,,,500000.0,-5,160
26,2.0,220.0,300.0,,,,,,,,,,,,,350000.0,-5,160
27,1.0,100.0,500.0,0.35,,,154453.0,,,,,,,,,900000.0,-5,180
28,2.0,100.0,500.0,0.35,,,154453.0,,,,,,,,,900000.0,-5,180
29,0.0,3500.0,620.0,0.45,,,,,,,,,,,,,-5,150
30,1.0,680.0,620.0,0.48,98.0,,,,,,,,,,,200000.0,-10,150
31,1.5,680.0,620.0,0.48,98.0,,,,,,,,,,,200000.0,-5,150
32,2.0,680.0,620.0,0.48,98.0,,,,,,,,,,,200000.0,-5,150
33,3.0,680.0,620.0,0.48,98.0,,,,,,,,,,,200000.0,5,150
34,0.0,120.0,315.0,,,,,,,,,,,,,400000.0,-15,110
35,0.0,120.0,315.0,,,,,,,,,,,,,400000.0,-15,110
36,1.0,120.0,315.0,,,,,,,,,,,,,400000.0,-15,110
37,1.5,120.0,315.0,,,,,,,,,,,,,400000.0,-15,110
38,2.0,120.0,315.0,,,,,,,,,,,,,400000.0,-15,110
39,3.0,120.0,315.0,,,,,,,,,,,,,350000.0,-10,120
40,0.0,1500.0,620.0,0.45,,,,,,,,,,,,200000.0,-5,190
41,1.5,1500.0,620.0,0.45,,,,,,,,,,,,200000.0,-5,190
42,2.0,1500.0,620.0,0.45,,,,,,,,,,,,200000.0,-5,190
43,2.0,320.0,900.0,0.4,,,,,,,,,,,,300000.0,-15,150
44,0.0,220.0,315.0,0.5,,,,,,,,,,,,,-20,90
45,1.0,220.0,315.0,0.5,,,,,,,,,,,,,-20,90
46,2.0,220.0,315.0,0.5,,,,,,,,,,,,,-20,90
47,1.0,40.0,250.0,,,,,,,,,,,,,1000000.0,-10,160
48,2.0,40.0,250.0,,,,153194.0,,,,,,,,,1000000.0,-10,160
49,3.0,40.0,250.0,,,,,,,,,,,,,900000.0,-5,160
50,1.0,220.0,315.0,0.5,,,141297.0,,,,,,,,,750000.0,-5,160
51,1.5,220.0,315.0,0.5,,,141298.0,,,,,,,,,750000.0,-5,160
