Aceite Base,Espesante,Grado NLGI Consistencia,Viscosidad del Aceite Base a 40°C. cSt,"Punto de Soldadura Cuatro Bolas, kgf","Desgaste Cuatro Bolas, mm",Registro NSF,Factor de Velocidad,"Temperatura de Servicio °C, min","Temperatura de Servicio °C, max",color,textura
0,0,2.0,680.0,500.0,-99.0,-99.0,200000.0,5,220,0,0
1,0,1.5,460.0,900.0,0.5,-99.0,300000.0,-30,150,1,1
1,0,2.0,460.0,500.0,0.48,-99.0,-99.0,-10,150,1,1
1,0,2.0,220.0,500.0,0.45,-99.0,-99.0,-15,150,2,0
1,1,1.5,680.0,620.0,0.48,-99.0,-99.0,-5,150,1,1
1,1,2.0,680.0,620.0,0.48,-99.0,-99.0,-5,150,1,1
1,2,1.0,3800.0,500.0,-99.0,-99.0,-99.0,-5,120,1,1
1,0,0.0,800.0,900.0,0.5,-99.0,300000.0,-30,150,1,1
1,0,1.0,800.0,900.0,0.5,-99.0,300000.0,-30,150,1,1
1,0,1.5,800.0,900.0,0.5,-99.0,300000.0,-30,150,1,1
1,0,2.0,800.0,900.0,0.5,-99.0,300000.0,-8,150,1,1
1,0,3.0,800.0,900.0,0.5,-99.0,300000.0,5,150,1,1
2,0,1.0,460.0,500.0,-99.0,-99.0,-99.0,-20,190,3,0
2,0,2.0,460.0,500.0,-99.0,-99.0,-99.0,-20,190,3,0
3,0,2.0,700.0,315.0,-99.0,-99.0,-99.0,-15,150,4,1
-99,-99,2.0,-99.0,-99.0,-99.0,-99.0,150000.0,-10,150,2,2
4,2,2.0,480.0,250.0,0.6,164358.0,350000.0,-5,180,5,0
-99,3,2.0,680.0,800.0,-99.0,-99.0,-99.0,5,210,4,1
-99,3,2.0,680.0,315.0,-99.0,-99.0,-99.0,0,240,2,0
1,4,1.2,400.0,250.0,-99.0,-99.0,-99.0,-25,150,6,1
3,2,0.0,220.0,315.0,-99.0,-99.0,300000.0,-5,160,5,0
4,2,1.0,100.0,250.0,-99.0,-99.0,900000.0,-10,160,5,0
4,2,2.0,100.0,250.0,-99.0,-99.0,900000.0,-10,160,5,0
4,2,3.0,100.0,250.0,-99.0,-99.0,750000.0,-5,160,5,0
4,-99,1.0,220.0,300.0,-99.0,-99.0,500000.0,-5,160,7,0
4,-99,2.0,220.0,300.0,-99.0,-99.0,350000.0,-5,160,7,0
4,0,1.0,100.0,500.0,0.35,154453.0,900000.0,-5,180,4,0
4,0,2.0,100.0,500.0,0.35,154453.0,900000.0,-5,180,4,0
1,0,0.0,3500.0,620.0,0.45,-99.0,-99.0,-5,150,1,3
1,1,1.0,680.0,620.0,0.48,-99.0,200000.0,-10,150,4,1
1,1,1.5,680.0,620.0,0.48,-99.0,200000.0,-5,150,4,1
1,1,2.0,680.0,620.0,0.48,-99.0,200000.0,-5,150,4,1
1,1,3.0,680.0,620.0,0.48,-99.0,200000.0,5,150,4,1
3,5,0.0,120.0,315.0,-99.0,-99.0,400000.0,-15,110,4,0
3,5,0.0,120.0,315.0,-99.0,-99.0,400000.0,-15,110,4,0
3,5,1.0,120.0,315.0,-99.0,-99.0,400000.0,-15,110,4,0
3,5,1.5,120.0,315.0,-99.0,-99.0,400000.0,-15,110,4,0
3,5,2.0,120.0,315.0,-99.0,-99.0,400000.0,-15,110,4,0
3,5,3.0,120.0,315.0,-99.0,-99.0,350000.0,-10,120,4,0
1,0,0.0,1500.0,620.0,0.45,-99.0,200000.0,-5,190,2,1
1,0,1.5,1500.0,620.0,0.45,-99.0,200000.0,-5,190,2,1
1,0,2.0,1500.0,620.0,0.45,-99.0,200000.0,-5,190,2,1
-99,4,2.0,320.0,900.0,0.4,-99.0,300000.0,-15,150,1,0
5,4,0.0,220.0,315.0,0.5,-99.0,-99.0,-20,90,4,4
5,4,1.0,220.0,315.0,0.5,-99.0,-99.0,-20,90,4,4
5,4,2.0,220.0,315.0,0.5,-99.0,-99.0,-20,90,4,4
4,-99,1.0,40.0,250.0,-99.0,-99.0,1000000.0,-10,160,5,0
4,-99,2.0,40.0,250.0,-99.0,153194.0,1000000.0,-10,160,5,0
4,-99,3.0,40.0,250.0,-99.0,-99.0,900000.0,-5,160,5,0
0,6,1.0,220.0,315.0,0.5,141297.0,750000.0,-5,160,5,0
0,6,1.5,220.0,315.0,0.5,141298.0,750000.0,-5,160,5,0
