,iddatosgrasas,codigograsa,aceite_base,espesante,grado_nlgi_consistencia,viscosidad_del_aceite_base_a_40degc_cst,penetracion_de_cono_a_25degc_0.1mm,estabilidad_mecanica,punto_de_soldadura_cuatro_bolas_kgf,desgaste_cuatro_bolas_mm,indice_de_carga-desgaste,carga_timken_ok_lb,resistencia_al_lavado_por_agua_a_80degc,corrosion_al_cobre,registro_nsf,factor_de_velocidad,temperatura_de_servicio_degc_min,temperatura_de_servicio_degc_max,categoria,subtitulo,descripcion,beneficios,aplicaciones,color,textura,punto_de_gota_num
0,1,grasa_1,semi-sintetico,complejo sulfonato de calcio,2.0,680.0,279,1.07,500.0,,,60,0.58,,,200000.0,5,220,grasa,"grasa de servicio pesado para alta resistencia al lavado por agua, temperatura y larga duraciã³n.","el producto es grasa lubricante de servicio pesado, espesada con jabã³n complejo sulfonato de calcio que por su naturaleza es altamente resistente a la oxidaciã³n, la corrosiã³n y al lavado por agua. 
el producto posee excelentes propiedades sellantes, de resistencia a la humedad, mantiene alta protecciã³n anticorrosiva y caracterã­sticas de soporte de carga/anti-desgaste excepcionales.","excelentes caracterã­sticas de resistencia al lavado por agua y sellado del rodamiento.
@alta estabilidad tã©rmica y anti-oxidante.
@excelente estabilidad de trabajo mecã¡nico.
@alta resistencia a extrema presiã³n y desgaste.
@excelente protecciã³n contra corrosiã³n y herrumbre.
@alta adherencia a las partes metã¡licas en movimiento.",debido a su composiciã³n ã³ptima de aceites de alta calidad y espesante de jabã³n complejo la grasa el producto puede usarse en aplicaciones de alta temperatura y en condiciones de trabajos severos por cargas mecã¡nicas debido a su capacidad de carga y propiedades de extrema presiã³n inherentes.,cafe,suave,304.0
1,2,grasa_2,mineral ht,complejo sulfonato de calcio,1.5,460.0,300,2.6,900.0,0.5,166.0,70,3,1a,,300000.0,-30,150,grasa,grasa para lubricaciã³n de equipo pesado.,"el producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema. 
la composiciã³n de los aceites y la base de jabã³n complejo sulfonato de calcio proporciona excelente protecciã³n anti-desgaste, alto soporte de carga extrema, protecciã³n anti-corrosiva en medios quã­micamente agresivos, asã­ como una excelente estabilidad mecã¡nica, contiene 5% de lubricantes sã³lidos para brindar una mayor resistencia a la pelã­cula lubricante en condiciones extremas.","extremo soporte de carga.
@alto contenido de solidos.
@alto soporte antidesgaste por vibraciã³n.
@adherencia extrema a los mecanismos.
@protecciã³n contra la corrosiã³n.","lubricaciã³n centralizada de equipo pesado.
@chasis y sistemas centralizados en palas mecã¡nicas.
@quinta rueda en camiones de carga.
@rodamientos expuestos a alta carga y vibraciã³n.
@cojinetes de quebradoras de cono.",negro,adherente,304.0
2,3,grasa_3,mineral ht,complejo sulfonato de calcio,2.0,460.0,265 - 295,10,500.0,0.48,,,3,,,,-10,150,grasa,grasa para lubricaciã³n de equipo pesado.,"el producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema. 
la composiciã³n de los aceites y la base de jabã³n complejo sulfonato de calcio proporciona excelente protecciã³n anti-desgaste, alto soporte de carga extrema, protecciã³n anti-corrosiva en medios quã­micamente agresivos, asã­ como una excelente estabilidad mecã¡nica, contiene lubricantes sã³lidos para brindar una mayor resistencia a la pelã­cula lubricante en condiciones extremas.","extremo soporte de carga.
@alto contenido de solidos.
@alto soporte antidesgaste por vibraciã³n.
@adherencia extrema a los mecanismos.
@protecciã³n contra la corrosiã³n.","lubricaciã³n centralizada de equipo pesado.
@chasis y sistemas centralizados en palas mecã¡nicas.
@quinta rueda en camiones de carga.
@rodamientos expuestos a alta carga y vibraciã³n.
@cojinetes de quebradoras de cono.",negro,adherente,300.0
3,4,grasa_4,mineral ht,complejo sulfonato de calcio,2.0,220.0,266 - 295,5,500.0,0.45,,,3,,,,-15,150,grasa,grasa lubricante para condiciones extremas.,"el producto es una grasa lubricante elaborada con una mezcla de bases minerales espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia tã©rmica y antioxidante, con una configuraciã³n de aditivos anti-oxidantes, anti-corrosivos, anti-herrumbrantes, anti-desgaste y de extrema presiã³n que le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas.","alta estabilidad tã©rmica y anti-oxidante.
@excelentes caracterã­sticas de lavado por agua.
@alta resistencia a extrema presiã³n y desgaste.
@excelente protecciã³n contra corrosiã³n y herrumbre.
@alta adherencia a las partes metã¡licas en movimiento.","rodamientos expuestos a alta temperatura y cargas mecã¡nicas.
@rodamientos de trenes de laminado de metales.
@rodamientos en condiciones de extremo lavado por agua.",ambar,suave,300.0
4,5,grasa_5,mineral ht,complejo de aluminio - poliurea,1.5,680.0,295,6.5,620.0,0.48,,50,1.45,1a,,,-5,150,grasa,grasa lubricante para servicio pesado con alta resistencia a humedad y alto soporte a cargas extremas.,"el producto es un grasa lubricante con propiedades especiales de gran adhesiã³n y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de aluminio-poliurea, asã­ como una excelente estabilidad mecã¡nica, contiene 5% de lubricantes sã³lidos para brindar una mayor resistencia a la pelã­cula lubricante en condiciones extremas.","excelente soporte de carga extrema.
@excelente resistencia al lavado por agua.
@alta resistencia a medios quã­micos agresivos.
@excelente adherencia a partes en movimiento.
@gran protecciã³n contra la corrosiã³n.","el producto es ideal para la lubricaciã³n de mecanismos que operan en velocidades bajas, ademã¡s proporciona excelentes propiedades de sellado contra los medios hãºmedos y contaminantes agresivos como sustancias alcalinas y acidas.
@lubricaciã³n de equipo pesado.
@rodamientos sometidos a alta carga y vibraciã³n.
@palas mecã¡nicas y equipo mã³vil.
@cojinetes de quebradoras.
@acoplamientos.",negro,adherente,260.0
5,6,grasa_6,mineral ht,complejo de aluminio - poliurea,2.0,680.0,275,6.5,620.0,0.48,,50,1.45,1a,,,-5,150,grasa,grasa lubricante para servicio pesado con alta resistencia a humedad y alto soporte a cargas extremas.,"el producto es un grasa lubricante con propiedades especiales de gran adhesiã³n y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de aluminio-poliurea, asã­ como una excelente estabilidad mecã¡nica, contiene 5% de lubricantes sã³lidos para brindar una mayor resistencia a la pelã­cula lubricante en condiciones extremas.","excelente soporte de carga extrema.
@excelente resistencia al lavado por agua.
@alta resistencia a medios quã­micos agresivos.
@excelente adherencia a partes en movimiento.
@gran protecciã³n contra la corrosiã³n.","el producto es ideal para la lubricaciã³n de mecanismos que operan en velocidades bajas, ademã¡s proporciona excelentes propiedades de sellado contra los medios hãºmedos y contaminantes agresivos como sustancias alcalinas y acidas.
@lubricaciã³n de equipo pesado.
@rodamientos sometidos a alta carga y vibraciã³n.
@palas mecã¡nicas y equipo mã³vil.
@cojinetes de quebradoras.
@acoplamientos.",negro,adherente,260.0
6,7,grasa_7,mineral ht,complejo de aluminio,1.0,3800.0,320,,500.0,,,40,,,,,-5,120,grasa,grasa lubricante especial para cables.,"el producto es una grasa especial para engranajes abiertos de baja velocidad lubricados por inmersiã³n o en forma manual, asã­ como para la lubricaciã³n y conservaciã³n de cables de grãºas.
el producto estã¡ formulado con aceite bã¡sico de muy alta viscosidad, agentes espesantes de jabã³n de aluminio complejo para garantizar la polaridad hacia los metales y lubricantes sã³lidos de grafito micronizados para aumentar la capacidad de soporte de carga.","excelentes caracterã­sticas tã©rmicas.
@excelente adherencia a los metales.
@excelente resistencia al agua.
@excelentes propiedades de extrema presiã³n.","se recomienda en la lubricaciã³n de engranajes abiertos de baja velocidad como los de molinos, de hornos giratorios, asã­ como tambiã©n transmisiones abiertas de grãºas y malacates.
@se recomienda tambiã©n para la lubricaciã³n de cables de acero de grãºas en ambientes contaminados o en condiciones de salinidad.",negro,adherente,280.0
7,8,grasa_8,mineral ht,complejo sulfonato de calcio,0.0,800.0,370,1.6,900.0,0.5,166.0,70,,1a,,300000.0,-30,150,grasa,grasa para lubricaciã³n de equipo pesado.,"el producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema. 
la composiciã³n de los aceites y la base de jabã³n complejo sulfonato de calcio proporciona excelente protecciã³n anti-desgaste, alto soporte de carga extrema, protecciã³n anti-corrosiva en medios quã­micamente agresivos, asã­ como una excelente estabilidad mecã¡nica, contiene 5% de lubricantes sã³lidos para brindar una mayor resistencia a la pelã­cula lubricante en condiciones extremas.","extremo soporte de carga.
@alto contenido de solidos.
@alto soporte antidesgaste por vibraciã³n.
@adherencia extrema a los mecanismos.
@protecciã³n contra la corrosiã³n.","lubricaciã³n centralizada de equipo pesado.
@chasis y sistemas centralizados en palas mecã¡nicas.
@quinta rueda en camiones de carga.
@rodamientos expuestos a alta carga y vibraciã³n.
@cojinetes de quebradoras de cono.",negro,adherente,304.0
8,9,grasa_9,mineral ht,complejo sulfonato de calcio,1.0,800.0,312,1.6,900.0,0.5,166.0,70,3,1a,,300000.0,-30,150,grasa,grasa para lubricaciã³n de equipo pesado.,"el producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema. 
la composiciã³n de los aceites y la base de jabã³n complejo sulfonato de calcio proporciona excelente protecciã³n anti-desgaste, alto soporte de carga extrema, protecciã³n anti-corrosiva en medios quã­micamente agresivos, asã­ como una excelente estabilidad mecã¡nica, contiene 5% de lubricantes sã³lidos para brindar una mayor resistencia a la pelã­cula lubricante en condiciones extremas.","extremo soporte de carga.
@alto contenido de solidos.
@alto soporte antidesgaste por vibraciã³n.
@adherencia extrema a los mecanismos.
@protecciã³n contra la corrosiã³n.","lubricaciã³n centralizada de equipo pesado.
@chasis y sistemas centralizados en palas mecã¡nicas.
@quinta rueda en camiones de carga.
@rodamientos expuestos a alta carga y vibraciã³n.
@cojinetes de quebradoras de cono.",negro,adherente,304.0
9,10,grasa_10,mineral ht,complejo sulfonato de calcio,1.5,800.0,300,2.6,900.0,0.5,166.0,70,3,1a,,300000.0,-30,150,grasa,grasa para lubricaciã³n de equipo pesado.,"el producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema. 
la composiciã³n de los aceites y la base de jabã³n complejo sulfonato de calcio proporciona excelente protecciã³n anti-desgaste, alto soporte de carga extrema, protecciã³n anti-corrosiva en medios quã­micamente agresivos, asã­ como una excelente estabilidad mecã¡nica, contiene 5% de lubricantes sã³lidos para brindar una mayor resistencia a la pelã­cula lubricante en condiciones extremas.","extremo soporte de carga.
@alto contenido de solidos.
@alto soporte antidesgaste por vibraciã³n.
@adherencia extrema a los mecanismos.
@protecciã³n contra la corrosiã³n.","lubricaciã³n centralizada de equipo pesado.
@chasis y sistemas centralizados en palas mecã¡nicas.
@quinta rueda en camiones de carga.
@rodamientos expuestos a alta carga y vibraciã³n.
@cojinetes de quebradoras de cono.",negro,adherente,304.0
10,11,grasa_11,mineral ht,complejo sulfonato de calcio,2.0,800.0,269,1.5,900.0,0.5,166.0,70,2.8,1a,,300000.0,-8,150,grasa,grasa para lubricaciã³n de equipo pesado.,"el producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema. 
la composiciã³n de los aceites y la base de jabã³n complejo sulfonato de calcio proporciona excelente protecciã³n anti-desgaste, alto soporte de carga extrema, protecciã³n anti-corrosiva en medios quã­micamente agresivos, asã­ como una excelente estabilidad mecã¡nica, contiene 5% de lubricantes sã³lidos para brindar una mayor resistencia a la pelã­cula lubricante en condiciones extremas.","extremo soporte de carga.
@alto contenido de solidos.
@alto soporte antidesgaste por vibraciã³n.
@adherencia extrema a los mecanismos.
@protecciã³n contra la corrosiã³n.","lubricaciã³n centralizada de equipo pesado.
@chasis y sistemas centralizados en palas mecã¡nicas.
@quinta rueda en camiones de carga.
@rodamientos expuestos a alta carga y vibraciã³n.
@cojinetes de quebradoras de cono.",negro,adherente,304.0
11,12,grasa_12,mineral ht,complejo sulfonato de calcio,3.0,800.0,248,3.8,900.0,0.5,166.0,70,2.4,1a,,300000.0,5,150,grasa,grasa para lubricaciã³n de equipo pesado.,"el producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema. 
la composiciã³n de los aceites y la base de jabã³n complejo sulfonato de calcio proporciona excelente protecciã³n anti-desgaste, alto soporte de carga extrema, protecciã³n anti-corrosiva en medios quã­micamente agresivos, asã­ como una excelente estabilidad mecã¡nica, contiene 5% de lubricantes sã³lidos para brindar una mayor resistencia a la pelã­cula lubricante en condiciones extremas.","extremo soporte de carga.
@alto contenido de solidos.
@alto soporte antidesgaste por vibraciã³n.
@adherencia extrema a los mecanismos.
@protecciã³n contra la corrosiã³n.","lubricaciã³n centralizada de equipo pesado.
@chasis y sistemas centralizados en palas mecã¡nicas.
@quinta rueda en camiones de carga.
@rodamientos expuestos a alta carga y vibraciã³n.
@cojinetes de quebradoras de cono.",negro,adherente,304.0
12,13,grasa_13,mineral refinado,complejo sulfonato de calcio,1.0,460.0,320,0.8,500.0,,,60,0.4,,,,-20,190,grasa,"grasa de servicio pesado para alta temperatura, larga duraciã³n y resistente al lavado por agua.","el producto es una grasa lubricante de servicio pesado, espesada con un novedoso jabã³n de complejo sulfonato de calcio que por su naturaleza es altamente resistente a la oxidaciã³n, la corrosiã³n y al lavado por agua, posee excelentes propiedades de lubricaciã³n en condiciones de cargas severas y de extrema presiã³n, junto con su propiedad de sellar eficazmente contra influencias ambientales y en especial del agua.","alta estabilidad tã©rmica y anti-oxidante.
@excelente estabilidad de trabajo mecã¡nico.
@alta resistencia a extrema presiã³n y desgaste.
@excelente protecciã³n contra corrosiã³n y herrumbre.
@alta adherencia a las partes metã¡licas en movimiento.
@excelentes caracterã­sticas de lavado por agua y sellado del rodamiento.","el producto puede usarse en aplicaciones de alta temperatura y en condiciones de trabajos severos por cargas mecã¡nicas debido a su capacidad de carga y propiedades de extrema presiã³n inherentes.
@para la lubricaciã³n de rodamientos, chumaceras, cojinetes, y otro tipo de mecanismos que trabajen en condiciones adversas y trabajo severo. 
@en las industrias minera, siderãºrgica, papelera, cementera, automotriz, embotelladora, etc.
@la versiã³n el producto moly se recomienda para aplicaciones donde existen vibraciones e impactos.",cafe claro,suave,304.0
13,14,grasa_14,mineral refinado,complejo sulfonato de calcio,2.0,460.0,280,0.8,500.0,,,60,0.4,,,,-20,190,grasa,"grasa de servicio pesado para alta temperatura, larga duraciã³n y resistente al lavado por agua.","el producto es una grasa lubricante de servicio pesado, espesada con un novedoso jabã³n de complejo sulfonato de calcio que por su naturaleza es altamente resistente a la oxidaciã³n, la corrosiã³n y al lavado por agua, posee excelentes propiedades de lubricaciã³n en condiciones de cargas severas y de extrema presiã³n, junto con su propiedad de sellar eficazmente contra influencias ambientales y en especial del agua.","alta estabilidad tã©rmica y anti-oxidante.
@excelente estabilidad de trabajo mecã¡nico.
@alta resistencia a extrema presiã³n y desgaste.
@excelente protecciã³n contra corrosiã³n y herrumbre.
@alta adherencia a las partes metã¡licas en movimiento.
@excelentes caracterã­sticas de lavado por agua y sellado del rodamiento.","el producto puede usarse en aplicaciones de alta temperatura y en condiciones de trabajos severos por cargas mecã¡nicas debido a su capacidad de carga y propiedades de extrema presiã³n inherentes.
@para la lubricaciã³n de rodamientos, chumaceras, cojinetes, y otro tipo de mecanismos que trabajen en condiciones adversas y trabajo severo. 
@en las industrias minera, siderãºrgica, papelera, cementera, automotriz, embotelladora, etc.
@la versiã³n el producto moly se recomienda para aplicaciones donde existen vibraciones e impactos.",cafe claro,suave,304.0
14,15,grasa_15,mineral,complejo sulfonato de calcio,2.0,700.0,266 - 295,< 10,315.0,,,60,< 3,,,,-15,150,grasa,grasa lubricante para condiciones extremas.,"el producto es una grasa lubricante elaborada con una mezcla de bases minerales espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia tã©rmica y antioxidante y con una configuraciã³n de aditivos anti-oxidantes, anti-corrosivos, anti-herrumbrantes, anti-desgaste y de extrema presiã³n que le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas.","alta estabilidad tã©rmica y anti-oxidante.
@excelentes caracterã­sticas de lavado por agua.
@alta resistencia a extrema presiã³n y desgaste.
@excelente protecciã³n contra corrosiã³n y herrumbre.
@alta adherencia a las partes metã¡licas en movimiento.","rodamientos expuestos a alta temperatura y cargas mecã¡nicas.
@rodamientos de trenes de laminado de metales.
@rodamientos en condiciones de extremo lavado por agua.",beige,adherente,290.0
15,16,grasa_16,,,2.0,,270,5,,,,,1,,,150000.0,-10,150,grasa,grasa lubricante sellante para vã¡lvulas de servicio en larga duraciã³n resistentes a gas natural y l.p.,"el producto es una grasa de efecto sellante con una mezcla de aceites bases altamente refinados, aditivos de anti-desgaste y compuestos adherentes para la lubricaciã³n y sellado de vã¡lvulas tipo macho.","resistencia a gas natural y gas l.p.
@gran capacidad de sellado.
@excepcional efecto deslizante y anti-desgaste.
@larga vida de operaciã³n.
@excelente comportamiento en temperatura ambiente extremas.","por su acciã³n deslizante, lubricante y sellante su uso es muy adecuado en vã¡lvulas tipo de estufa, reguladores de gas y termo reguladores de gas natural y gas l.p.",ambar,suave adhesiva,295.0
16,17,grasa_17,mineral usp,complejo de aluminio,2.0,480.0,275,4,250.0,0.6,,40,2,,164358.0,350000.0,-5,180,grasa,grasa de alta resistencia para industria alimenticia y farmacã©utica.,"el producto es una grasa lubricante formulada con una base altamente resistente a la humedad y medios quã­micos, comãºnmente utilizados en la industria alimenticia, se recomienda para aplicaciones especiales y generales en la industria alimenticia, es resistente a altas temperaturas, condiciones de humedad, vapores y desinfectantes.
@el producto estã¡ aprobada por nsf como lubricante tipo h1 para contacto incidental con alimentos.","excelente resistencia contra la humedad.
@alta soporte de temperatura.
@excelentes propiedades anti-desgaste.
@desempeã±o sobresaliente en mediana velocidad.","lubricaciã³n de rodamientos en condiciones extremas de contaminaciã³n.
@rodamientos expuestos a media velocidad.
@para cojinetes lisos en baja velocidad.",blanco,suave,260.0
17,18,grasa_18,,silica,2.0,680.0,280,8,800.0,,,,5,,,,5,210,grasa,grasa lubricante para rodamientos de peletizadoras de madera.,"el producto es una grasa lubricante que posee excelentes propiedades de lubricaciã³n en condiciones de alta temperatura y extrema presiã³n.
especialmente diseã±ada para soportar condiciones de alta fricciã³n y temperatura en las peletizadoras de madera, contiene un conjunto de aditivos y lubricantes sã³lidos que le permiten mantener condiciones lubricantes de emergencia bajo condiciones de carga, fricciã³n y vibraciã³n, es altamente estable a la temperatura no perdiendo su estructura con los cambios.","alta estabilidad tã©rmica y antioxidante.
@excelente estabilidad de trabajo mecã¡nico.
@resistencia a extrema presiã³n y desgaste.
@excelente protecciã³n contra corrosiã³n y herrumbre.
@alta adherencia a las partes metã¡licas en movimiento.
@excelentes caracterã­sticas de sellado del rodamiento.","especialmente diseã±ada para la lubricaciã³n de rodamientos de mediana a alta velocidad, en peletizadoras de madera.
@cuenta con un excelente desempeã±o en la lubricaciã³n de rodamientos, guã­as, correderas, bujes, engranes pequeã±os y elementos mecã¡nicos.",beige,adherente,
18,19,grasa_19,,silica,2.0,680.0,240,9.8,315.0,,,40,5,,,,0,240,grasa,grasa para alta temperatura y larga duraciã³n.,"el producto es una grasa lubricante que posee excelentes propiedades de lubricaciã³n en condiciones de alta temperatura asã­ como extrema presiã³n.
especialmente diseã±ada para soportar condiciones de extrema temperatura por largos periodos en las cuales las grasas convencionales de jabã³n no son funcionales a 240âºc, es altamente estable a la temperatura no perdiendo su estructura con los cambios.","alta estabilidad tã©rmica y antioxidante.
@excelente estabilidad de trabajo mecã¡nico.
@resistencia a extrema presiã³n y desgaste.
@excelente protecciã³n contra corrosiã³n y herrumbre.
@alta adherencia a las partes metã¡licas en movimiento.
@excelentes caracterã­sticas de lavado por agua y sellado del rodamiento.",lubricante de uso general para cojinetes y rodamientos de bolas o de rodillos expuestos a temperaturas hasta 240âºc.,ambar,suave,304.0
